"country","continent","avg_population","avg_electricity","gdp"
"China","Asia",928402557.234568,899.670567901235,3.418e+12
"India","Asia",573779654.42735,159.535487179487,1198427350427.35
"United States","Americas",186541665.094017,1013.76617948718,5307991452991.45
"Russia","Europe",139408455.578947,533.660228070175,2127754385964.91
"Indonesia","Asia",116008710.036364,29.4476454545455,418262350061.382
"Pakistan","Asia",98992865.3134328,27.6809253731343,285924805272.836
"Bangladesh","Asia",91829775.5223881,8.9824328358209,158523357642.507
"Japan","Asia",91242745.8461538,267.942803418803,1494944422308.1
"Nigeria","Africa",89731685.9701492,5.92238805970149,370752853656.836
"Brazil","Americas",87921081.6581197,102.192897435897,574114555243.214
"Germany","Europe",72764024.3760684,160.684034188034,1235888888888.89
"Ethiopia","Africa",64500405.4054054,2.39837837837838,67581292281.0811
"Vietnam","Asia",58311705.1764706,22.9198235294118,134589963971.765
"United Kingdom","Europe",51718461.2649573,97.4820598290598,901794871794.872
"Egypt","Africa",49989612.9558824,40.5178235294118,272670608715.294
"Mexico","Americas",49309026.4188034,53.8326837606838,443068741907.692
"Ukraine","Europe",48746394.7368421,171.273815789474,409394736842.105
"Italy","Europe",48492374.2905983,71.6517094017094,710244770058.94
"France","Europe",48394266.4957265,133.485367521368,827692307692.308
"Thailand","Asia",46285585.6857143,46.1663,289760825205.029
"Iran","Asia",45259703.1470588,64.7788088235294,420339162947.765
"Turkey","Asia",38695577.8,44.3744631578947,375775860838.4
"Philippines","Asia",37831592.6454545,11.0967454545455,147766030010.182
"Democratic Republic of Congo","Africa",34018000,1.89449253731343,41670874646.9254
"Poland","Europe",33700480.725,59.820025,303876968012.8
"Myanmar","Asia",32877781.961039,0,58423060347.013
"South Africa","Africa",32457208.9552239,97.144,290739381217.433
"Spain","Europe",31172251.3846154,60.9516837606838,425330099698.872
"Kenya","Africa",31102810.8108108,3.19289189189189,70964141913.946
"South Korea","Asia",30225212.8659794,96.8277835051546,403840217985.32
"Algeria","Africa",26958382.9787234,14.9625319148936,267971700942.979
"Sudan","Africa",26225567.5675676,3.13867567567568,74978746132.7568
"Uzbekistan","Asia",23691216.2162162,24.5294594594595,121537112243.892
"Tanzania","Africa",23634820.8955224,1.10735820895522,40518014800.2388
"Uganda","Africa",23516702.7027027,1.177,32443112198.9189
"Argentina","Americas",21459659.1709402,24.1441282051282,271476774395.624
"Morocco","Africa",21389506.6323529,5.42569117647059,99990582791.5294
"Colombia","Americas",19927228.991453,11.9569316239316,126460848900.376
"Romania","Europe",18738888.6666667,12.5913333333333,105100029067.636
"Canada","Americas",18484277.0598291,156.432222222222,457920244460.308
"North Korea","Asia",17683018.3283582,4.68937313432836,30081531619.3433
"Nepal","Asia",17121952.5588235,0.724661764705882,22026533330.8235
"Sri Lanka","Asia",16834807.6923077,4.10515384615385,78412050914.4615
"Saudi Arabia","Asia",16445000,95.8063461538461,475016392576
"Iraq","Asia",16394595.0882353,11.5124852941176,135081503853.176
"Afghanistan","Asia",16009925.3731343,0.228388059701493,31191969287.6418
"Kazakhstan","Asia",15866432.4324324,63.6741891891892,197257881074.162
"Angola","Africa",15442690.4761905,1.91516666666667,43857900873.1429
"Yemen","Asia",14511808.5106383,1.94731914893617,47271711112.1702
"Ghana","Africa",13672880.8235294,2.21857352941176,32602953539.7647
"Mozambique","Africa",13479104.4776119,3.75734328358209,9414233924.77612
"Syria","Asia",13356183.6734694,10.4820408163265,64550931435.102
"Peru","Americas",13183045.2735043,6.26762393162393,60940804772.1026
"Taiwan","Asia",12442697.3271028,49.9586355140187,220216335170.991
"Malaysia","Asia",12283221.7843137,22.4140784313725,122056213792.627
"Burkina Faso","Africa",11595162.1621622,0.266432432432432,16255213180.5405
"Australia","Oceania",11352126.9487179,54.066811965812,285671068553.846
"Venezuela","Americas",11326268.5641026,20.8727435897436,98489111228.1709
"Cambodia","Asia",11279351.3513514,0.731405405405405,20170968492.973
"Madagascar","Africa",11223582.0895522,0.34410447761194,12639381832.597
"Netherlands","Europe",11216890.5641026,25.4141111111111,235892002789.744
"Mali","Africa",11189000,0.610378378378378,11375957524.7568
"Cameroon","Africa",11076029.8507463,1.32913432835821,24102787603.1045
"Malawi","Africa",11075000,0.818783783783784,11484269249.7297
"Cote d'Ivoire","Africa",10577179.1044776,0,28575157951.0448
"Czechia","Europe",10309680.8510638,34.7992127659574,208319148936.17
"Belarus","Europe",9770621.62162162,13.438972972973,120867240364.973
"Hungary","Europe",9765554.04255319,8.63242553191489,85428553341.2766
"Senegal","Africa",9627864.86486487,1.24124324324324,20060107969.7297
"Serbia","Europe",9315840,15.5752,82657704366.08
"Belgium","Europe",9024788.66666667,18.0254444444444,148601798113.368
"Chile","Americas",8765875.73504274,10.7499401709402,77565422723.2821
"Chad","Africa",8435054.05405405,0.0710810810810811,10924481798.9189
"Portugal","Europe",8333395.04273504,8.73711965811966,79550294934.9744
"Zimbabwe","Africa",8247537.31343284,2.11223880597015,21742451780.7761
"Haiti","Americas",8201621.62162162,0.313513513513514,15791876428.1081
"Dominican Republic","Americas",8164513.51351351,6.17481081081081,66927354589.4054
"Greece","Europe",8151973.1965812,8.74229914529915,91251578363.6239
"Niger","Africa",8150194.02985075,0.071,7778556412.1791
"Azerbaijan","Asia",7943621.62162162,9.98827027027027,69357438450.1622
"Guinea","Africa",7930297.2972973,0.451675675675676,9679508106.37838
"Rwanda","Africa",7876648.64864865,0.117054054054054,8640837071.56757
"Bulgaria","Europe",7669271.7,11.2726111111111,61435301063.1111
"Sweden","Europe",7341630.66666667,41.1320256410256,134642458427.077
"Zambia","Africa",7329238.80597015,2.6210447761194,14512063021.8507
"Austria","Europe",7243866.11965812,14.3163247863248,111226928902.564
"Tunisia","Africa",7089469.79411765,3.55426470588235,44766317127.5294
"Cuba","Americas",6984695.39473684,2.36035087719298,34457640677.0526
"Switzerland","Europe",6859557.69230769,38.40275,267307692307.692
"Tajikistan","Asia",6820880,11.04216,15575620096
"Benin","Africa",6741054.05405405,0.0622162162162162,10995027123.8919
"Guatemala","Americas",6555104.73195876,1.76585567010309,25985390258.1443
"Honduras","Americas",6325378.37837838,2.98475675675676,22960895197.4054
"Ecuador","Americas",6109916.95726496,3.24381196581197,32687818173.265
"El Salvador","Americas",5648540.54054054,2.48754054054054,28408082072.2162
"Hong Kong","Asia",5597942.30769231,11.4834038461538,175222253302.154
"United Arab Emirates","Asia",5429416.66666667,62.6584166666667,4.1625e+11
"Slovakia","Europe",5363250,22.56525,91170920800
"Jordan","Asia",5136081.08108108,5.64821621621622,31717867270.9189
"Kyrgyzstan","Asia",5123120,9.4594,16890542080
"Laos","Asia",5063270.27027027,3.75318918918919,13952147248.4324
"Burundi","Africa",5062253.73134328,0.0342686567164179,5136321782.44776
"Paraguay","Americas",5047243.24324324,24.8740540540541,26918768750.7027
"Finland","Europe",5008250,38.4999423076923,128341264413.538
"Sierra Leone","Africa",4979135.13513513,0.0627567567567568,5982989498.81081
"Nicaragua","Americas",4844837.83783784,1.66451351351351,14385349189.1892
"Togo","Africa",4824243.24324324,0.0865135135135135,6294197905.2973
"Bolivia","Americas",4687141.16239316,0.874051282051282,11893866894.2222
"Croatia","Europe",4445148.14814815,10.1644074074074,70559794213.9259
"Georgia","Asia",4390160,5.82688,28888912732.16
"Denmark","Europe",4337589.44444444,6.03076923076923,82778460566.9744
"Turkmenistan","Asia",4281108.10810811,6.66394594594595,38797899817.5135
"Israel","Asia",4237149.25373134,13.0062835820896,96292090039.403
"Moldova","Europe",4184480,3.72764,12596828733.44
"Lebanon","Asia",3946513.51351351,6.19935135135135,45796094256.4324
"Bosnia and Herzegovina","Europe",3737680,9.11928,25991369646.08
"Costa Rica","Americas",3723540.54054054,4.1427027027027,36480621983.1351
"Palestine","Asia",3705526.31578947,0.296210526315789,14513807952.8421
"Libya","Africa",3645089.55223881,6.46941791044776,80536088316.1791
"New Zealand","Oceania",3560461.53846154,21.2902115384615,80995086434.4615
"Norway","Europe",3528871.54700855,33.4130769230769,91174833265.7778
"Puerto Rico","Americas",3473837.83783784,10.0537837837838,103126923084.108
"Central African Republic","Africa",3455351.35135135,0.0682972972972973,3458992543.13514
"Lithuania","Europe",3415810.81081081,10.009027027027,46424561497.9459
"Singapore","Asia",3367115.38461538,13.4386730769231,111463441348.923
"Ireland","Europe",3306780.81443299,4.85670103092783,62293649054.3505
"Uruguay","Americas",3220324.32432432,4.79710810810811,38440921420.1081
"Armenia","Asia",3038320,4.21572,16455840911.36
"Panama","Americas",2945945.94594595,3.20437837837838,31709125687.3514
"Liberia","Africa",2826432.43243243,0.11327027027027,1922824556.97297
"Mauritania","Africa",2626135.13513514,0.300081081081081,5836266551.35135
"Jamaica","Americas",2583027.02702703,2.39475675675676,14497406823.7838
"Albania","Europe",2432598.56338028,1.21652112676056,11537712591.3239
"Latvia","Europe",2357343.75,4.36809375,31953199552
"Congo","Africa",2256074.62686567,0.247253731343284,6549915605.01493
"Kuwait","Asia",2090930.23255814,19.0031162790698,124192587156.837
"North Macedonia","Europe",2038666.66666667,1.1847037037037,18658507776
"Slovenia","Europe",2014444.44444444,12.759962962963,45221013807.4074
"Namibia","Africa",1889148.14814815,0.947740740740741,13505522119.1111
"Lesotho","Africa",1840081.08108108,0.217324324324324,3654222602.37838
"Mongolia","Asia",1811447.76119403,0.989283582089552,6945948262.68657
"Oman","Asia",1597716.41791045,4.41994029850746,35375571900.1791
"Estonia","Europe",1414968.75,5.9320625,20356094528
"Gambia","Africa",1289405.40540541,0.0975675675675676,2475700677.18919
"Guinea-Bissau","Africa",1197081.08108108,0.0137837837837838,1601153753.94595
"Trinidad and Tobago","Americas",1175346.15384615,2.41978846153846,18257977718.1538
"Mauritius","Africa",1141513.51351351,1.29835135135135,15045242852.3243
"Botswana","Africa",1118701.49253731,0.251567164179104,8621738880
"Gabon","Africa",926686.567164179,0.442761194029851,9597997012.0597
"Cyprus","Asia",830288.461538462,1.47238461538462,14589820401.2308
"Qatar","Asia",821186.046511628,8.83832558139535,80161629279.2558
"Eswatini","Africa",681313.432835821,0,4106371997.61194
"Djibouti","Africa",667405.405405405,0.114297297297297,1689013884.54054
"Bahrain","Asia",651191.489361702,7.3241914893617,18647977836.9362
"Equatorial Guinea","Africa",628054.054054054,0.288864864864865,11062162162.1622
"Montenegro","Europe",620529.411764706,1.90852941176471,8635170364.23529
"Comoros","Africa",526081.081081081,0.0202972972972973,911806133.621622
"Luxembourg","Europe",410250,0.835538461538462,17272934459.0769
"Cape Verde","Africa",406837.837837838,0,1633823082.37838
"Malta","Europe",384324.324324324,0.943945945945946,7026311257.94595
"Barbados","Americas",269243.243243243,0.433945945945946,4052375731.89189
"Iceland","Europe",258730.769230769,5.78176923076923,7903050574.76923
"Saint Lucia","Americas",151324.324324324,0.148864864864865,1025697181.40541
"Sao Tome and Principe","Africa",142243.243243243,0.0225405405405405,333092730.378378
"Seychelles","Africa",80243.2432432432,0.13327027027027,1302153219.45946
"Dominica","Americas",71378.3783783784,0.0400540540540541,551626918.054054
